
Host: node2610.swalot.os

Timers On : Wed Mar 10 12:56:50 2021
Timers Off: Wed Mar 10 16:33:44 2021

Wall Time:    13013.43 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: JK                              :      0.000u      0.000s      0.006w     33 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.006w     33 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     33 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     33 calls
DFH: compute_K                      :      0.000u      0.000s      0.003w     33 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     33 calls
HF: Form F                          :      0.000u      0.000s      0.000w     33 calls
HF: Form D                          :      0.000u      0.000s      0.000w     33 calls
HF: DIIS                            :      0.017u      0.000s      0.018w     30 calls
DIISManager::add_entry              :      0.000u      0.000s      0.002w     30 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.003w     30 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     30 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     30 calls
New vector                          :      0.000u      0.000s      0.001w     30 calls
HF: Form C                          :      0.033u      0.000s      0.003w     30 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.050u      0.017s      0.045w      3 calls
DFH: initialize()                   :      0.200u      0.000s      0.130w      3 calls
| DFH: AO Construction              :      0.000u      0.000s      0.005w      3 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.003w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.567u      0.000s      0.340w      3 calls
| SAD Guess                         :      0.500u      0.000s      0.308w      3 calls
HF: Form G                          :      0.000u      0.000s      0.008w     33 calls
| JK: D                             :      0.000u      0.000s      0.000w     33 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     33 calls
| JK: JK                            :      0.000u      0.000s      0.006w     33 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.006w     33 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     33 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     33 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.003w     33 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     33 calls
HF: Form F                          :      0.000u      0.000s      0.000w     33 calls
HF: Form D                          :      0.000u      0.000s      0.000w     33 calls
HF: DIIS                            :      0.017u      0.000s      0.018w     30 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.002w     30 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.003w     30 calls
| | bMatrix setup                   :      0.000u      0.000s      0.001w     30 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     30 calls
| | New vector                      :      0.000u      0.000s      0.001w     30 calls
HF: Form C                          :      0.033u      0.000s      0.003w     30 calls

**************************************************************************************

Host: node3415.kirlia.os

Timers On : Wed Mar 31 06:39:40 2021
Timers Off: Wed Mar 31 06:43:06 2021

Wall Time:      205.99 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: node3415.kirlia.os

Timers On : Wed Mar 31 06:43:39 2021
Timers Off: Wed Mar 31 06:56:55 2021

Wall Time:      795.70 seconds

                                                       Time (seconds)
